offer id,category,class,subclass,brand,name
1017952848,Plywood & Laminates,Adhesives,All Purpose Glue,Pidilite,HOME CARE KIT BLISTER
1017917077,Hardware,Door Hardware,Door Lock,Godrej,Godrej 6001 Satin Nickel Rimlock
1017874249,Plumbing,Tanks,Overhead Tank,Ideal,Ideal 3 Layer Yellow 1000 L Overhead Tank
1016921671,Hardware,Cabinet Hardware,Cabinet Handle,Nimmi,Nimmi 3294160SSBKNICHA SS Matte 6 in. Cabinet Handle
1018280483,Paints,Interior Paints,Interior Emulsion - Base,BIRLA opus,BIRLA opus EW 99 Calista Ever Wash Clear 3.8 L Interior Emulsion - Base
1017889723,Bath,Bath Faucets,Angle Valve,Parryware,Parryware T9880A1 Cute 1-way Angle Valve
1000697384,Paints,Interior Paints,Interior Emulsion - Color,Asian Paints,Asian Paints Tractor 1 L White Interior Emulsion - Color
1017669776,Hardware,Door Hardware,Lever Handle,Godrej,Godrej 5992 SS Matte Mortise on Plate Set (CY Type)
1018261762,Paints,Metal Paints,Enamel-Color,BIRLA opus,BIRLA opus SGE 23 Calista Sparkle Gloss 500 ml Smoke Grey Enamel-Color
1006903315,Plumbing,Fittings,Agriculture Fitting,Supreme,Supreme 4 in. (110 mm) 4 Kg/cm² Bend 90° Agriculture Fitting
1017920579,Hardware,Cabinet Hardware,Cabinet Handle,Nimmi,Nimmi 3316160TGMTNICHA Rose Gold 6 in. Cabinet Handle
1018842371,Lighting & Fans,Fan,Ceiling Fan,Orient,Orient 1200mm Jazz (Pearl Metallic White) Ceiling Fan
1015805339,Plumbing,Fittings,Water Pipe Fitting,Supreme,Supreme ¾ in. (20 mm) CPVC Step Over Bend
1018283486,Lighting & Fans,Decorative Lights,Pendant Light,Luker,Luker ANZIA SMOKE GREY H3(LHL506-1 SMOKE GREY) E27 Holder Without Lamp Glass with Aluminium Pendant Light
1017644082,Lighting & Fans,Light Bulbs,LED Bulb,Panasonic,Panasonic 5W E27 6500K LED Bulb
1000417336,Plumbing,Fittings,Agriculture Fitting,Supreme,Supreme 2 1/2 in. (75 mm) 4 Kg/cm sq End Cap Agriculture Fitting
1014890034,Kitchen,Kitchen Faucets,Sink Tap,Parryware,Parryware Agate Pro Wall Mounted Silver Sink Tap
1006153151,Bath,Bath Accessories,Soap Holder,Goeka,Goeka Crown CR-08 Brass Double Soap Holder
1017644503,Lighting & Fans,Light Bulbs,LED Bulb,Philips,Philips 7 W B22 6500K LED Bulb
1017799509,Lighting & Fans,Ceiling Lights,LED COB Light,Luker,Luker 7W RD Surface RG (LCOBBSRR07) Cylindrical COB Light
1018045797,Paints,Waterproofing,Wall Waterproofing,Asian Paints,Asian Paints Smartcare Damp Proof Terracotta 20 L Wall Waterproofing
1017874449,Plumbing,Tanks,Overhead Tank,Ideal,Ideal 2 Layer Black 2000 L Overhead Tank
1014889223,Bath,Bath Faucets,Bib Tap,Parryware,Parryware Pluto Single Lever Bib Tap
1017641811,Electricals,Wires & Cables,Low Tension Wire,Polycab,Polycab Green Wire 1.5 sq mm Yellow 180 m HR FR-LSH LF PVC Insulated Wire
1016058934,Hardware,Wardrobe Sliding Fittings,Top Track System,EBCO,EBCO HS50R-T2 Top Track System
1018712235,Lighting & Fans,Outdoor Lighting,Wall Light,Sturlite,Sturlite 5W 3000K ( LG-0167-5W-3K) Ortix 4 Way Wall Light
1018266812,Paints,Metal Paints,Enamel-Base,BIRLA opus,BIRLA opus SGE 1 Calista Sparkle Gloss Pastel- 4 L Enamel-Base
1017948345,Hardware,Door Hardware,Lever Handle,Godrej,Godrej 6326 Antique Mortise on Plate
1017893659,Plumbing,"Tapes, Adhesives and Cleaners",Solvent cement,HP,HP Gold 118 ml Solvent Cement
1018712546,Lighting & Fans,Light Bulbs,LED Batten,Sturlite,Sturlite 20W 3in1 Civic LED Batten
1018161359,Appliances,Small Domestic Appliances,Mixer Grinder,Atomberg,Atomberg Zenova 550 Watt 4 Jars BLDC Mixer Grinder
1000580539,Appliances,Hobs & Chimney,Hob,Faber,Faber Maxus HT904 4 Burner Auto Ignition Hob
1006142326,Electricals,Switches and Sockets,Modular Surface Box,Anchor,Anchor 34567 16 Module Plastic Modular Surface Box
1017701489,Hardware,Fasteners,Screw,Nakoda,Nakoda 32x6 Nickel POP Screws
1018705405,Lighting & Fans,Decorative Lights,Wall Light,Luker,Luker Luker Wall Light Transparent Glass Wall Light
1017780633,Electricals,Wires & Cables,Low Tension Wire,Polycab,Polycab Green Wire+ 4 sq mm Blue 90 m FR PVC Insulated Wire
1000634924,Power & Hand Tools,Garden Tools,Sprayer,Natures Plus,Natures Plus 500 ml Garden Sprayer
1017917744,Electricals,Switches and Sockets,Switch Board Plate,GM,GM G-Nine X Stela 6 Module Glossy Glossy White Switch Board Plate
1014884216,Plywood & Laminates,Plywood & Blockboard,Plywood,Centuryply,Centuryply Sainik - 710 8 ft. x 4 ft. 19 mm BWP/Marine Plywood
1018713025,Paints,Paint Tools,Other Tools,Unbranded,Waterproofing Sanding/Black Grit Paper 220 no
1018249337,Electricals,Wires & Cables,Low Tension Wire,RR Kabel,RR Kabel Superex Green HR+FR 1.5 sq mm Grey 90 m FR PVC Insulated Wire
1000038833,Plywood & Laminates,Adhesives,Woodwork Adhesive,Fevicol,Fevicol MARINE 20 kg Woodwork Adhesive
1018703969,Lighting & Fans,Ceiling Lights,LED Downlighter,Panasonic,Panasonic 5W Round 3in1 RBV Concealed LED Downlighter
1017643192,Lighting & Fans,Ceiling Lights,LED Panel Light,Panasonic,Panasonic 20W 4000K Square Concealed LED Panel Light
1017908645,Paints,Colorants,Universal Stainer,Gorilla,gorilla Barnadsina Light Brown 400 g Universal Stainer
1017832769,Hardware,Cabinet Hardware,Drawer Channel,PREMIER,PREMIER 350 mm Soft Close Telescopic Drawer Channel 350 mm Soft Close Drawer Channel
1018670732,Lighting & Fans,Fan,Pedestal Fan,V-Guard,V-Guard 400mm 3 Blade Finesta STS Neo II 16 (White Blue) Pedestal Fan
1017852969,Electricals,Switches and Sockets,Mini Modular MCB,Legrand,Legrand Allzy 681159 White SP 20 A Mini Modular MCB
1014819591,Electricals,Switches and Sockets,Switch,Legrand,Legrand Myrius Nextgen 679222 White 6A 2 Module Bell Push Switch
1000219403,Power & Hand Tools,Hand Tools,Cutting Tool,Taparia,Taparia UK 3 19 mm Utility Knives
1016994541,Hardware,Curtain Hardware,Curtain Finial,Apace,Apace 554CPWGAPOBR Chrome Curtain Finial
1000696183,Power & Hand Tools,Power Tools,Tile Cutter,Bosch,Bosch GDC 141 1450 W 125mm Tile Cutter
1017721756,Electricals,Wires & Cables,Low Tension Wire,Finolex,Finolex FRLS-H 4 sq mm Red 180m 1C PVC Insulated Industrial Cable 1100 V
1018250683,Hardware,Ropes,Rope,EBC,EBC 10 ft. Rubber Rope
1015016876,Bath,Bath Faucets,Shower Head,Goeka,"Goeka SH-1011 Eco 60 mm (2.5"") ABS Single Flow Shower Head - Round"
1017780744,Appliances,Small Domestic Appliances,Mixer Grinder,Havells,Havells Foodo 750w 5 Jar MG
